backend,embedding,time
fake_casablanca,3,271.1337642669678
fake_casablanca,4,273.6246449947357
fake_melbourne,0,275.75426483154297
fake_melbourne,1,274.28636598587036
fake_melbourne,2,274.4975395202637
fake_melbourne,3,274.33665657043457
fake_melbourne,4,274.0754141807556
fake_melbourne,5,275.3360357284546
fake_melbourne,6,273.9812607765198
fake_melbourne,7,275.0756108760834
fake_guadalupe,0,274.88396978378296
fake_guadalupe,1,275.1818416118622
fake_guadalupe,2,274.37723755836487
fake_guadalupe,3,273.0262930393219
fake_tokyo,0,276.0248210430145
fake_tokyo,1,274.2804865837097
fake_tokyo,2,875.9923756122589
fake_tokyo,3,274.42721819877625
fake_tokyo,4,272.3371138572693
fake_tokyo,5,274.1243782043457
fake_tokyo,6,274.2813096046448
fake_tokyo,7,273.9070188999176
fake_tokyo,8,274.96886825561523
fake_tokyo,9,273.84534668922424
fake_poughkeepsie,0,276.891802072525
fake_poughkeepsie,1,272.43457770347595
fake_poughkeepsie,2,273.17072057724
fake_poughkeepsie,3,272.9447224140167
fake_poughkeepsie,4,272.36487770080566
fake_poughkeepsie,5,272.91021728515625
fake_johannesburg,0,271.2454936504364
fake_johannesburg,1,272.90184807777405
fake_johannesburg,2,272.22664284706116
fake_johannesburg,3,272.28766918182373
fake_johannesburg,4,272.1018500328064
fake_boeblingen,0,272.4152843952179
fake_boeblingen,1,868.5687499046326
fake_boeblingen,2,272.9522063732147
fake_boeblingen,3,272.8682351112366
fake_boeblingen,4,271.80120968818665
fake_boeblingen,5,272.6977450847626
fake_boeblingen,6,274.2171986103058
fake_almaden,0,272.1634979248047
fake_almaden,1,868.8368990421295
fake_almaden,2,271.73226594924927
fake_almaden,3,272.1033821105957
fake_almaden,4,272.60135531425476
fake_almaden,5,272.6022264957428
fake_almaden,6,271.6955580711365
fake_almaden,7,273.0165855884552
fake_almaden,8,271.32415771484375
fake_singapore,0,273.02122139930725
fake_singapore,1,273.2539517879486
fake_singapore,2,271.8488841056824
fake_singapore,3,271.56861114501953
fake_singapore,4,272.2956893444061
fake_singapore,5,272.0951578617096
fake_mumbai,0,868.5653562545776
fake_mumbai,1,869.6960515975952
fake_mumbai,2,272.7871255874634
fake_mumbai,3,272.7992227077484
fake_mumbai,4,273.61443853378296
fake_mumbai,5,271.68017840385437
fake_mumbai,6,273.85904264450073
fake_mumbai,7,275.18092465400696
fake_paris,0,273.7734818458557
fake_paris,1,272.6099741458893
fake_paris,2,271.7481825351715
fake_paris,3,271.31126618385315
fake_paris,4,266.5207643508911
fake_paris,5,258.7712061405182
fake_paris,6,254.89067959785461
fake_auckland,0,255.1442289352417
fake_auckland,1,257.0340118408203
fake_kolkata,0,254.7290916442871
fake_kolkata,1,255.77100086212158
fake_kolkata,2,255.74433088302612
fake_kolkata,3,255.756774187088
fake_kolkata,4,254.34474396705627
fake_kolkata,5,255.02614164352417
fake_kolkata,6,255.99345350265503
fake_toronto,0,255.21316695213318
fake_toronto,1,255.93351364135742
fake_toronto,2,254.42357444763184
fake_toronto,3,256.04204869270325
fake_toronto,4,254.54707789421082
fake_toronto,5,255.2351472377777
fake_toronto,6,256.9402449131012
fake_toronto,7,255.51995539665222
fake_toronto,8,256.66602396965027
fake_montreal,0,253.5247688293457
fake_montreal,1,256.5346956253052
fake_montreal,2,255.15182399749756
fake_montreal,3,254.74788999557495
fake_sydney,0,257.8520972728729
fake_sydney,1,257.34954714775085
fake_sydney,2,254.34561038017273
fake_sydney,3,255.4659059047699
fake_sydney,4,256.6754415035248
fake_sydney,5,258.8514266014099
fake_cairo,0,258.09917163848877
fake_cairo,1,259.66045475006104
fake_cairo,2,258.66465997695923
fake_cairo,3,257.66867542266846
fake_cairo,4,257.02742624282837
fake_cairo,5,259.6452672481537
fake_cairo,6,258.3845753669739
fake_cairo,7,257.63863801956177
fake_cairo,8,258.6685998439789
