,hardware_spec,embedding,horizon,lambda,time
322,fake_melbourne,3,6,0.925686688716283,281
323,fake_melbourne,3,7,0.9256876144029718,1148
324,fake_melbourne,4,4,0.500006000027,16
325,fake_melbourne,4,5,0.5000075000450002,67
326,fake_melbourne,4,6,0.940938109007624,281
327,fake_melbourne,4,7,0.940938109007624,1144
328,fake_melbourne,5,4,0.500006000027,16
329,fake_melbourne,5,5,0.5000075000450002,67
330,fake_melbourne,5,6,0.94345435475965,281
331,fake_melbourne,5,7,0.94345435475965,1143
332,fake_melbourne,6,4,0.500002000003,16
333,fake_melbourne,6,5,0.500002500005,67
334,fake_melbourne,6,6,0.9354486051792466,280
335,fake_melbourne,6,7,0.9354495406278517,1142
336,fake_melbourne,7,4,0.500002000003,16
337,fake_melbourne,7,5,0.500002500005,68
338,fake_melbourne,7,6,0.9408890027213852,280
339,fake_melbourne,7,7,0.940891943616388,1132
340,fake_guadalupe,0,4,0.500006000027,11
341,fake_guadalupe,0,5,0.5000075000450002,47
342,fake_guadalupe,0,6,0.9786362081182332,192
343,fake_guadalupe,0,7,0.9786371867544413,785
344,fake_guadalupe,1,4,0.500006000027,11
345,fake_guadalupe,1,5,0.5000075000450002,46
346,fake_guadalupe,1,6,0.9811348955685449,193
347,fake_guadalupe,1,7,0.9811358767034406,785
348,fake_guadalupe,2,4,0.5,11
349,fake_guadalupe,2,5,0.500000499999,46
350,fake_guadalupe,2,6,0.9818734105199585,193
351,fake_guadalupe,2,7,0.9818744555450285,785
352,fake_guadalupe,3,4,0.500002000003,11
353,fake_guadalupe,3,5,0.500002500005,46
354,fake_guadalupe,3,6,0.9772732802764253,192
355,fake_guadalupe,3,7,0.9772742575497056,786
356,fake_tokyo,0,4,0.500002000003,17
357,fake_tokyo,0,5,0.500002500005,70
358,fake_tokyo,0,6,0.9157205783318659,293
359,fake_tokyo,0,7,0.9157225487180006,1195
360,fake_tokyo,1,4,0.500002000003,17
361,fake_tokyo,1,5,0.500004000011,70
362,fake_tokyo,1,6,0.9155243653442632,293
363,fake_tokyo,1,7,0.9155243653442632,1195
364,fake_tokyo,2,4,0.500002000003,18
365,fake_tokyo,2,5,0.500002500005,82
366,fake_tokyo,2,6,0.9071675713467375,372
367,fake_tokyo,2,7,0.9071684785143088,1664
368,fake_tokyo,3,4,0.500002000003,17
