,hardware_spec,embedding_index,horizon,hcxh,hcxh2,twoq,twoq2,h-h2,h-q,h-q2,h2-q,h2-q2,q-q2
848,fake_rochester,5,5,0.706619218431317,0.7066432983749723,0.7066361980119722,0.774420772927205,-2.4079943655275216e-05,-1.697958065516314e-05,-0.06780155449588798,7.1003630001120754e-06,-0.06777747455223271,-0.06778457491523282
849,fake_rochester,5,6,0.7066206316704605,0.7066503648079561,,,-2.9733137495546735e-05,,,,,
850,fake_rome,0,2,0.831920782088,0.8319244392,,0.831920782088,-3.6571120000106205e-06,,0.0,,3.6571120000106205e-06,
851,fake_rome,0,3,0.831921782088,0.831932758444392,0.831942758544392,0.8319208913733488,-1.0976356391911857e-05,-2.0976456391985643e-05,8.907146512582287e-07,-1.0000100000073786e-05,1.1867071043170085e-05,2.186717104324387e-05
852,fake_rome,0,4,0.831921782088,0.8319410777719765,0.8319677121113978,0.8513010753594873,-1.9295683976405797e-05,-4.5930023397700026e-05,-0.01937929327148724,-2.663433942129423e-05,-0.019359997587510835,-0.01933336324808954
853,fake_rome,0,5,0.831921782088,0.8481794196882777,0.8319760293907263,0.8513010817404381,-0.016257637600277652,-5.424730272629574e-05,-0.01937929965243801,0.016203390297551357,-0.0031216620521603566,-0.019325052349711713
854,fake_rome,0,6,0.831921782088,0.8481879014824746,,,-0.016266119394474532,,,,,
855,fake_rome,1,2,0.83632618136,0.8363152298,,0.83632618136,1.0951560000083127e-05,,0.0,,-1.0951560000083127e-05,
856,fake_rome,1,3,0.836327179968,0.836323592952298,0.836333592852296,0.83632618136,3.587015702022356e-06,-6.412884296036481e-06,9.9860799995799e-07,-9.999899998058837e-06,-2.588407702064366e-06,7.411492295994471e-06
857,fake_rome,1,4,0.836327179968,0.8363319561882275,0.836358676545762,0.8518898086246302,-4.776220227542538e-06,-3.1496577762024636e-05,-0.015562628656630162,-2.6720357534482098e-05,-0.01555785243640262,-0.015531132078868137
858,fake_rome,1,5,0.836327179968,0.8482350271206892,0.8363670369365582,0.8518898181489652,-0.011907847152689222,-3.985696855823839e-05,-0.01556263818096526,0.011867990184130983,-0.0036547910282760387,-0.015522781212407022
859,fake_rome,1,6,0.836327179968,0.8483272547928502,,,-0.012000074824850215,,,,,
860,fake_rome,2,2,0.831920782088,0.8319244392,,0.831920782088,-3.6571120000106205e-06,,0.0,,3.6571120000106205e-06,
861,fake_rome,2,3,0.83192178104,0.831932758444392,0.831942748144288,0.8319208913733488,-1.0977404391931955e-05,-2.0967104288005523e-05,8.896666512381302e-07,-9.989699896073567e-06,1.1867071043170085e-05,2.1856770939243653e-05
862,fake_rome,2,4,0.83192178104,0.8319410777719765,0.8319677001184997,0.8513010753594873,-1.9296731976425896e-05,-4.591907849971211e-05,-0.01937929431948726,-2.662234652328621e-05,-0.019359997587510835,-0.01933337524098755
863,fake_rome,2,5,0.83192178104,0.843821321662771,0.8319760166027916,0.8513010817404381,-0.011899540622770988,-5.4235562791604686e-05,-0.01937930070043803,0.011845305059979383,-0.007479760077667041,-0.019325065137646424
864,fake_rome,2,6,0.83192178104,0.844122384217596,,,-0.01220060317759597,,,,,
865,fake_santiago,0,2,0.843863888777,0.843857797,,0.843863888777,6.091777000061249e-06,,0.0,,-6.091777000061249e-06,
866,fake_santiago,0,3,0.84386488795,0.843857797,0.843857797,0.843863888777,7.0909500000659875e-06,7.0909500000659875e-06,9.991730000047383e-07,0.0,-6.091777000061249e-06,-6.091777000061249e-06
867,fake_santiago,0,4,0.84386488795,0.843857797,0.843857797,0.8528885197966113,7.0909500000659875e-06,7.0909500000659875e-06,-0.009023631846611258,0.0,-0.009030722796611323,-0.009030722796611323
868,fake_santiago,0,5,0.84386488795,0.8498415326948174,0.843857797,0.85288852648124,-0.005976644744817405,7.0909500000659875e-06,-0.009023638531239997,0.005983735694817471,-0.0030469937864225916,-0.009030729481240063
869,fake_santiago,0,6,0.84386488795,0.8498524387783276,,,-0.005987550828327581,,,,,
870,fake_santiago,1,2,0.84227074633,0.8422465426,,0.842271745595,2.4203730000005308e-05,,-9.992649999679415e-07,,-2.520299499997325e-05,
871,fake_santiago,1,3,0.842272745596,0.8422465426,0.8422565352,0.842271745595,2.6202995999979883e-05,1.621039599997154e-05,1.000001000006634e-06,-9.992600000008345e-06,-2.520299499997325e-05,-1.5210394999964905e-05
872,fake_santiago,1,4,0.842272745596,0.8422465426,0.8422565352,0.852783165224304,2.6202995999979883e-05,1.621039599997154e-05,-0.010510419628304013,-9.992600000008345e-06,-0.010536622624303993,-0.010526630024303985
873,fake_santiago,1,5,0.842272745596,0.8500146638104196,0.8422565352,0.8527831783230972,-0.0077419182144196075,1.621039599997154e-05,-0.010510432727097285,0.007758128610419579,-0.002768514512677678,-0.010526643123097257
874,fake_santiago,1,6,0.842272745596,0.8500556805247694,,,-0.007782934928769469,,,,,
875,fake_santiago,2,2,0.843144844696,0.8431333758,,0.843143845027,1.1468896000010886e-05,,9.99669000023573e-07,,-1.0469226999987313e-05,
876,fake_santiago,2,3,0.843144844696,0.8431333758,0.8431433692,0.843143845027,1.1468896000010886e-05,1.4754960000473716e-06,9.99669000023573e-07,-9.993399999963515e-06,-1.0469226999987313e-05,-4.758270000237985e-07
877,fake_santiago,2,4,0.843144844696,0.8431333758,0.8431433692,0.8528837387721312,1.1468896000010886e-05,1.4754960000473716e-06,-0.009738894076131155,-9.993399999963515e-06,-0.009750362972131166,-0.009740369572131202
878,fake_santiago,2,5,0.843144844696,0.8494501867816686,0.8431433692,0.8528837434015376,-0.006305342085668575,1.4754960000473716e-06,-0.009738898705537569,0.006306817581668622,-0.0034335566198689937,-0.009740374201537616
879,fake_santiago,2,6,0.843144844696,0.8494946031019446,,,-0.006349758405944539,,,,,
880,fake_santiago,3,2,0.846519102964,0.8465203256,,0.84651810332,-1.2226359999978342e-06,,9.996440000215046e-07,,2.2222800000193388e-06,
881,fake_santiago,3,3,0.846519102964,0.8465203256,0.8465203256,0.84651810332,-1.2226359999978342e-06,-1.2226359999978342e-06,9.996440000215046e-07,0.0,2.2222800000193388e-06,2.2222800000193388e-06
882,fake_santiago,3,4,0.846519102964,0.8465203256,0.8465203256,0.8531071632418713,-1.2226359999978342e-06,-1.2226359999978342e-06,-0.006588060277871288,0.0,-0.00658683764187129,-0.00658683764187129
883,fake_santiago,3,5,0.846519102964,0.8504442211718106,0.8465203256,0.8531071653093042,-0.003925118207810607,-1.2226359999978342e-06,-0.00658806234530418,0.0039238955718106094,-0.0026629441374935725,-0.006586839709304182
884,fake_santiago,3,6,0.846519102964,0.8505090159749009,,,-0.003989913010900903,,,,,
885,fake_singapore,0,2,0.791441208775,0.7914342588,,0.791441208775,6.9499750000590055e-06,,0.0,,-6.9499750000590055e-06,
886,fake_singapore,0,3,0.791441208775,0.791442173142588,0.7914342588,0.791441208775,-9.643675880077751e-07,6.9499750000590055e-06,0.0,7.91434258806678e-06,9.643675880077751e-07,-6.9499750000590055e-06
887,fake_singapore,0,4,0.8314097426451377,0.8314241444666951,0.7914500875643194,0.8377398411041841,-1.4401821557430416e-05,0.039959655080818224,-0.006330098459046418,0.039974056902375654,-0.006315696637488988,-0.04628975353986464
