horizon,alg_index,hardware_spec,embedding_index,acc
3,0,fake_burlington,2,0.8184883775
3,0,fake_burlington,3,0.822426144
3,0,fake_essex,0,0.830801354
3,0,fake_essex,1,0.830801354
3,0,fake_essex,2,0.8129297261
3,0,fake_essex,3,0.8268086117
3,0,fake_lima,0,0.8166389346
3,0,fake_lima,1,0.8415638968
3,0,fake_lima,2,0.8166389346
3,0,fake_london,0,0.8411805904
3,0,fake_london,1,0.7365025889
3,0,fake_london,2,0.8411805904
3,0,fake_manila,0,0.8430847018
3,0,fake_manila,1,0.8375458494
3,0,fake_manila,2,0.8399166462
3,0,fake_ourense,0,0.8322375416
3,0,fake_ourense,1,0.8322375416
3,0,fake_ourense,2,0.814462379
3,0,fake_quito,0,0.8348618327
3,0,fake_quito,1,0.8348618327
3,0,fake_quito,2,0.8297629742
3,0,fake_rome,0,0.8319244392
3,0,fake_rome,1,0.8363152298
3,0,fake_rome,2,0.8319244392
3,0,fake_santiago,0,0.843857797
3,0,fake_santiago,1,0.8422465426
3,0,fake_santiago,2,0.8431333758
3,0,fake_santiago,3,0.8465203256
3,0,fake_vigo,0,0.799961253
3,0,fake_vigo,1,0.8369747
3,0,fake_vigo,2,0.842680832
3,0,fake_vigo,3,0.8291817746
3,0,fake_yorktown,0,0.7714152168
3,0,fake_yorktown,1,0.7714152168
3,0,fake_yorktown,2,0.6449512518
3,0,fake_johannesburg,0,0.8338641839
3,0,fake_johannesburg,1,0.8043841591
3,0,fake_johannesburg,2,0.7876335997
3,0,fake_johannesburg,3,0.8072010939
3,0,fake_johannesburg,4,0.8044305837
3,0,fake_johannesburg,5,0.7914471575
3,0,fake_almaden,0,0.835957958
3,0,fake_almaden,1,0.8148374704
3,0,fake_almaden,2,0.8247755896
3,0,fake_almaden,3,0.8208116349
3,0,fake_almaden,4,0.8348976183
3,0,fake_boeblingen,0,0.8303642635
3,0,fake_boeblingen,1,0.8068640895
3,0,fake_boeblingen,2,0.8400236937
3,0,fake_boeblingen,3,0.8259170875
3,0,fake_boeblingen,4,0.8259170875
3,0,fake_poughkeepsie,0,0.8228831803
3,0,fake_poughkeepsie,1,0.8173163413
3,0,fake_poughkeepsie,2,0.8343870959
3,0,fake_poughkeepsie,3,0.8224980685
