horizon,alg_index,hardware_spec,embedding_index,acc
3,1,fake_paris,0,0.9948516757184
3,1,fake_paris,1,0.74032448758736
3,1,fake_paris,2,0.8298432544055
3,1,fake_sydney,0,0.89717451356768
3,1,fake_sydney,1,0.9940390378294
3,1,fake_toronto,0,0.99384151141312
3,1,fake_toronto,1,0.98751422891014
3,1,fake_toronto,2,0.7070021901255
3,1,fake_brooklyn,0,0.95845424314112
3,1,fake_brooklyn,1,0.9919452089825
3,1,fake_brooklyn,2,0.9360089610985
3,1,fake_brooklyn,3,0.9886015860968
3,1,fake_manhattan,0,0.9454661174084
3,1,fake_manhattan,1,0.9372477238
3,1,fake_manhattan,2,0.83590674332246
3,1,fake_manhattan,3,0.66113303364824
3,1,fake_manhattan,4,0.99758458079614
3,1,fake_cambridge,0,0.653587434
3,1,fake_cambridge,1,0.921866201606
3,1,fake_cambridge,2,0.553419927932
3,1,fake_cambridge,3,0.993180255722
3,1,fake_guadalupe,0,0.9662977729094
3,1,fake_guadalupe,1,0.99491676051916
3,1,fake_melbourne,0,0.993654066311
3,1,fake_melbourne,1,0.978660899808
3,1,fake_melbourne,2,0.97500981010208
3,1,fake_melbourne,3,0.74004158924368
3,1,fake_rochester,0,0.75549276515
3,1,fake_rochester,1,0.7896440418125
3,1,fake_rochester,2,0.620145938075
3,1,fake_rochester,3,0.99654379565
3,1,fake_rochester,4,0.64652612975
3,1,fake_washington,0,0.9874264144
3,1,fake_washington,1,0.73620104453
3,1,fake_washington,2,0.99786753515136
3,2,fake_johannesburg,0,0.82674359
3,2,fake_johannesburg,1,0.908285789
3,2,fake_johannesburg,2,0.9311865012
3,2,fake_johannesburg,3,0.9815663625
3,2,fake_almaden,0,0.9177976147865
3,2,fake_almaden,1,0.9459558535985
3,2,fake_almaden,2,0.981302360126
3,2,fake_almaden,3,0.771981094982
3,2,fake_boeblingen,0,0.962845966
3,2,fake_boeblingen,1,0.8712086126
3,2,fake_boeblingen,2,0.981529742
3,2,fake_boeblingen,3,0.9164434846
3,2,fake_poughkeepsie,0,0.97831024
3,2,fake_poughkeepsie,1,0.974065675
3,2,fake_poughkeepsie,2,0.9144816
3,2,fake_poughkeepsie,3,0.822211412
3,2,fake_singapore,0,0.9172758025
