,hardware_spec,embedding,horizon,lambda,time
242,fake_perth,3,6,0.9772642043155003,779
243,fake_perth,3,7,0.9772642049145305,3785
244,fake_perth,4,4,0.9656690545166945,29
245,fake_perth,4,5,0.9656690645085946,146
246,fake_perth,4,6,0.9842808162330804,717
247,fake_perth,4,7,0.98428081683211,3547
248,fake_lagos,0,4,0.9820611636197252,34
249,fake_lagos,0,5,0.9827360519094402,170
250,fake_lagos,0,6,0.9905640452321279,833
251,fake_lagos,0,7,0.9905997614192308,4049
252,fake_lagos,1,4,0.9838118759054947,34
253,fake_lagos,1,5,0.9844892091711278,170
254,fake_lagos,1,6,0.9923456723036597,833
255,fake_lagos,1,7,0.9923815181152642,4050
256,fake_lagos,2,4,0.9882428480148197,34
257,fake_lagos,2,5,0.9897075780588671,170
258,fake_lagos,2,6,0.9924170942835479,831
259,fake_lagos,2,7,0.9924547020476776,4037
260,fake_lagos,3,4,0.9758127331045815,32
261,fake_lagos,3,5,0.9792385775829453,159
262,fake_lagos,3,6,0.9851968062997156,779
263,fake_lagos,3,7,0.9854000350680637,3784
264,fake_lagos,4,4,0.9815114647233939,29
265,fake_lagos,4,5,0.9849783297128989,147
266,fake_lagos,4,6,0.9910079131508568,716
267,fake_lagos,4,7,0.9912135754757725,3546
268,fake_nairobi,0,4,0.9626287323851701,34
269,fake_nairobi,0,5,0.9761375351707879,170
270,fake_nairobi,0,6,0.9866945350112831,832
271,fake_nairobi,0,7,0.988837253758152,4049
272,fake_nairobi,1,4,0.9638143019613061,35
273,fake_nairobi,1,5,0.9773576941786054,169
274,fake_nairobi,1,6,0.9879417253282803,834
275,fake_nairobi,1,7,0.9900899305290477,4050
276,fake_nairobi,2,4,0.9591095428930371,34
277,fake_nairobi,2,5,0.9730664358136775,170
278,fake_nairobi,2,6,0.9846750276642425,831
279,fake_nairobi,2,7,0.9870452941871365,4038
280,fake_nairobi,3,4,0.9594893084891036,32
281,fake_nairobi,3,5,0.9689547264438865,159
282,fake_nairobi,3,6,0.984467756155325,778
283,fake_nairobi,3,7,0.9860234744553873,3785
284,fake_nairobi,4,4,0.9619457062209522,29
285,fake_nairobi,4,5,0.9714617877691964,147
286,fake_nairobi,4,6,0.9870578508801542,716
287,fake_nairobi,4,7,0.9886218961531903,3546
288,fake_casablanca,0,4,0.9633272480613724,34
289,fake_casablanca,0,5,0.9694431583538902,170
290,fake_casablanca,0,6,0.9763577944768449,833
291,fake_casablanca,0,7,0.9768770012621903,4050
292,fake_casablanca,1,4,0.9702303719049986,34
293,fake_casablanca,1,5,0.9764374100322485,170
294,fake_casablanca,1,6,0.9834550752851633,833
295,fake_casablanca,1,7,0.983982018320652,4052
296,fake_casablanca,2,4,0.9712630798686499,34
297,fake_casablanca,2,5,0.9729596301361289,170
298,fake_casablanca,2,6,0.9857279159174209,831
299,fake_casablanca,2,7,0.9858842024576516,4039
300,fake_casablanca,3,4,0.9659403840750016,32
301,fake_casablanca,3,5,0.9754455338094608,159
302,fake_casablanca,3,6,0.9815820678821751,778
303,fake_casablanca,3,7,0.9825512056327476,3786
304,fake_casablanca,4,4,0.9687549320127464,29
305,fake_casablanca,4,5,0.9783175055264366,146
306,fake_casablanca,4,6,0.9844910935827275,717
307,fake_casablanca,4,7,0.9854660856403575,3547
308,fake_melbourne,0,4,0.9458115197693314,34
309,fake_melbourne,0,5,0.964981374499482,170
310,fake_melbourne,0,6,0.9675768783808978,833
311,fake_melbourne,0,7,0.9704909451669851,4047
312,fake_melbourne,1,4,0.8916988659953581,35
313,fake_melbourne,1,5,0.9219379499247384,170
314,fake_melbourne,1,6,0.9308602445786649,833
315,fake_melbourne,1,7,0.9404706826249767,4048
316,fake_melbourne,2,4,0.9055041889651261,34
317,fake_melbourne,2,5,0.9368090264786179,170
318,fake_melbourne,2,6,0.9460458238871493,832
319,fake_melbourne,2,7,0.9559949795429882,4037
320,fake_melbourne,3,4,0.7791658973139998,32
321,fake_melbourne,3,5,0.844155601808699,159
322,fake_melbourne,3,6,0.8456258096237292,778
323,fake_melbourne,3,7,0.8951169244010277,3785
324,fake_melbourne,4,4,0.9332749077376832,29
325,fake_melbourne,4,5,0.9415937669623561,147
326,fake_melbourne,4,6,0.9582518270321937,716
327,fake_melbourne,4,7,0.9596996987163879,3546
328,fake_melbourne,5,4,0.9350704094356402,29
329,fake_melbourne,5,5,0.9434237612968909,146
330,fake_melbourne,5,6,0.9601509307314523,715
331,fake_melbourne,5,7,0.9616048068969815,3488
332,fake_melbourne,6,4,0.9132030745943465,29
333,fake_melbourne,6,5,0.9452675555828289,146
334,fake_melbourne,6,6,0.9469351730435578,715
335,fake_melbourne,6,7,0.9553672593896457,3474
336,fake_melbourne,7,4,0.9192171028758204,30
337,fake_melbourne,7,5,0.9517484276591004,145
338,fake_melbourne,7,6,0.9534403248474168,715
339,fake_melbourne,7,7,0.9619951784133853,3475
340,fake_guadalupe,0,4,0.9266428833331046,34
341,fake_guadalupe,0,5,0.9528386028695731,171
342,fake_guadalupe,0,6,0.9727305230205705,832
343,fake_guadalupe,0,7,0.9815161366954729,4048
344,fake_guadalupe,1,4,0.9288164380080256,34
345,fake_guadalupe,1,5,0.955145688742879,170
346,fake_guadalupe,1,6,0.9751389678037548,833
347,fake_guadalupe,1,7,0.9839693620528858,4049
