horizon,diff_index,real_hardware,acc,ins
4,1,fake_poughkeepsie5,0.229,-1
4,0,fake_johannesburg0,0.81,-1
4,1,fake_johannesburg0,0.195,-1
4,0,fake_johannesburg1,0.883,-1
4,1,fake_johannesburg1,0.119,-1
4,0,fake_johannesburg2,0.902,-1
4,1,fake_johannesburg2,0.103,-1
4,0,fake_johannesburg3,0.943,-1
4,1,fake_johannesburg3,0.055,-1
4,0,fake_johannesburg4,0.954,-1
4,1,fake_johannesburg4,0.046,-1
4,0,fake_boeblingen0,0.94,-1
4,1,fake_boeblingen0,0.062,-1
4,0,fake_boeblingen1,0.948,-1
4,1,fake_boeblingen1,0.056,-1
4,0,fake_boeblingen2,0.956,-1
4,1,fake_boeblingen2,0.043,-1
4,0,fake_boeblingen3,0.947,-1
4,1,fake_boeblingen3,0.05,-1
4,0,fake_boeblingen4,0.853,-1
4,1,fake_boeblingen4,0.148,-1
4,0,fake_boeblingen5,0.899,-1
4,1,fake_boeblingen5,0.102,-1
4,0,fake_boeblingen6,0.9,-1
4,1,fake_boeblingen6,0.097,-1
4,0,fake_almaden0,0.905,-1
4,1,fake_almaden0,0.106,-1
4,0,fake_almaden1,0.893,-1
4,1,fake_almaden1,0.099,-1
4,0,fake_almaden2,0.905,-1
4,1,fake_almaden2,0.102,-1
4,0,fake_almaden3,0.928,-1
4,1,fake_almaden3,0.071,-1
4,0,fake_almaden4,0.751,-1
4,1,fake_almaden4,0.253,-1
4,0,fake_almaden5,0.759,-1
4,1,fake_almaden5,0.245,-1
4,0,fake_almaden6,0.962,-1
4,1,fake_almaden6,0.036,-1
4,0,fake_almaden7,0.851,-1
4,1,fake_almaden7,0.156,-1
4,0,fake_almaden8,0.954,-1
4,1,fake_almaden8,0.041,-1
4,0,fake_singapore0,0.904,-1
4,1,fake_singapore0,0.102,-1
4,0,fake_singapore1,0.904,-1
4,1,fake_singapore1,0.094,-1
4,0,fake_singapore2,0.96,-1
4,1,fake_singapore2,0.041,-1
4,0,fake_singapore3,0.897,-1
4,1,fake_singapore3,0.105,-1
4,0,fake_singapore4,0.893,-1
4,1,fake_singapore4,0.107,-1
4,0,fake_singapore5,0.921,-1
4,1,fake_singapore5,0.068,-1
4,0,fake_mumbai0,0.959,-1
4,1,fake_mumbai0,0.039,-1
4,0,fake_mumbai1,0.969,-1
4,1,fake_mumbai1,0.026,-1
4,0,fake_mumbai2,0.95,-1
4,1,fake_mumbai2,0.048,-1
4,0,fake_mumbai3,0.947,-1
4,1,fake_mumbai3,0.051,-1
4,0,fake_mumbai4,0.892,-1
4,1,fake_mumbai4,0.112,-1
4,0,fake_mumbai5,0.892,-1
4,1,fake_mumbai5,0.1,-1
4,0,fake_mumbai6,0.973,-1
4,1,fake_mumbai6,0.032,-1
4,0,fake_mumbai7,0.954,-1
4,1,fake_mumbai7,0.046,-1
4,0,fake_paris0,0.785,-1
4,1,fake_paris0,0.227,-1
4,0,fake_paris1,0.962,-1
4,1,fake_paris1,0.029,-1
4,0,fake_paris2,0.949,-1
4,1,fake_paris2,0.05,-1
4,0,fake_paris3,0.953,-1
4,1,fake_paris3,0.044,-1
4,0,fake_paris4,0.874,-1
4,1,fake_paris4,0.126,-1
4,0,fake_paris5,0.97,-1
4,1,fake_paris5,0.025,-1
4,0,fake_paris6,0.976,-1
4,1,fake_paris6,0.026,-1
4,0,fake_auckland0,0.855,-1
4,1,fake_auckland0,0.146,-1
4,0,fake_auckland1,0.987,-1
4,1,fake_auckland1,0.014,-1
4,0,fake_kolkata0,0.97,-1
4,1,fake_kolkata0,0.029,-1
4,0,fake_kolkata1,0.967,-1
4,1,fake_kolkata1,0.029,-1
4,0,fake_kolkata2,0.902,-1
4,1,fake_kolkata2,0.101,-1
4,0,fake_kolkata3,0.985,-1
4,1,fake_kolkata3,0.019,-1
4,0,fake_kolkata4,0.986,-1
4,1,fake_kolkata4,0.014,-1
4,0,fake_kolkata5,0.986,-1
4,1,fake_kolkata5,0.014,-1
4,0,fake_kolkata6,0.987,-1
4,1,fake_kolkata6,0.013,-1
4,0,fake_toronto0,0.882,-1
4,1,fake_toronto0,0.124,-1
4,0,fake_toronto1,0.897,-1
4,1,fake_toronto1,0.105,-1
4,0,fake_toronto2,0.949,-1
4,1,fake_toronto2,0.052,-1
4,0,fake_toronto3,0.972,-1
4,1,fake_toronto3,0.024,-1
4,0,fake_toronto4,0.71,-1
4,1,fake_toronto4,0.286,-1
4,0,fake_toronto5,0.874,-1
4,1,fake_toronto5,0.112,-1
4,0,fake_toronto6,0.942,-1
4,1,fake_toronto6,0.055,-1
4,0,fake_toronto7,0.959,-1
4,1,fake_toronto7,0.044,-1
4,0,fake_toronto8,0.981,-1
4,1,fake_toronto8,0.021,-1
4,0,fake_montreal0,0.981,-1
4,1,fake_montreal0,0.018,-1
4,0,fake_montreal1,0.986,-1
4,1,fake_montreal1,0.019,-1
4,0,fake_montreal2,0.939,-1
4,1,fake_montreal2,0.057,-1
4,0,fake_montreal3,0.891,-1
4,1,fake_montreal3,0.104,-1
4,0,fake_sydney0,0.927,-1
4,1,fake_sydney0,0.07,-1
4,0,fake_sydney1,0.944,-1
4,1,fake_sydney1,0.065,-1
4,0,fake_sydney2,0.875,-1
4,1,fake_sydney2,0.129,-1
4,0,fake_sydney3,0.873,-1
4,1,fake_sydney3,0.134,-1
4,0,fake_sydney4,0.969,-1
4,1,fake_sydney4,0.028,-1
4,0,fake_sydney5,0.97,-1
