backend,embedding,time
CASABLANCA,1,17.955991983413696
CASABLANCA,2,17.994198083877563
CASABLANCA,3,17.917248964309692
CASABLANCA,4,18.025505781173706
ESSEX,0,19.151852130889893
ESSEX,1,19.14607310295105
ESSEX,2,19.078045129776
GENEVA,0,17.97305703163147
GENEVA,1,18.7082998752594
GENEVA,2,18.071969985961914
GUADALUPE,0,18.029810905456543
GUADALUPE,1,18.041933059692383
GUADALUPE,2,18.049274921417236
GUADALUPE,3,18.141719102859497
LIMA,0,18.1375150680542
LIMA,1,17.984460830688477
LIMA,2,17.988672018051147
LONDON,0,19.200774908065796
LONDON,1,19.20767092704773
LONDON,2,19.113382816314697
MANHATTAN,0,17.7049458026886
MANHATTAN,1,17.761949062347412
MANHATTAN,2,18.159192085266113
MANHATTAN,3,17.991569757461548
MANHATTAN,4,17.89763879776001
MANHATTAN,5,17.938945055007935
MANHATTAN,6,18.1634418964386
MANILA,0,17.87585997581482
MANILA,1,17.93403387069702
MANILA,2,17.953635931015015
MELBOURNE,0,17.976316213607788
MELBOURNE,1,18.019198894500732
MELBOURNE,2,18.14662194252014
MELBOURNE,3,17.968304872512817
MELBOURNE,4,17.953471183776855
MELBOURNE,5,18.010509252548218
MELBOURNE,6,17.90751004219055
MELBOURNE,7,18.167010068893433
MONTREAL,0,18.90831208229065
MONTREAL,1,18.492552042007446
MONTREAL,2,18.013747930526733
MONTREAL,3,19.332783222198486
OSLO,0,18.038837671279907
OSLO,1,17.885414838790894
OSLO,2,18.105412006378174
OSLO,3,17.926169872283936
OSLO,4,17.905542850494385
OURENSE,0,18.111598014831543
OURENSE,1,17.962251901626587
OURENSE,2,17.984700918197632
PARIS,0,17.891438961029053
PARIS,1,18.106038808822632
PARIS,2,18.20851421356201
PARIS,3,17.99687886238098
PARIS,4,18.009426832199097
PARIS,5,18.02312922477722
PARIS,6,18.036696910858154
QUITO,0,18.292020082473755
QUITO,1,17.986727952957153
QUITO,2,18.019317865371704
POUGHKEEPSIE,0,19.20131778717041
POUGHKEEPSIE,1,19.208401918411255
POUGHKEEPSIE,2,19.309782028198242
POUGHKEEPSIE,3,19.24449110031128
POUGHKEEPSIE,4,19.239777088165283
POUGHKEEPSIE,5,19.279167890548706
ROCHESTER,0,19.32800269126892
ROCHESTER,1,19.241502046585083
ROCHESTER,2,19.317458868026733
ROCHESTER,3,19.2164089679718
ROCHESTER,4,19.280189990997314
ROME,0,17.990949153900146
ROME,1,17.948824167251587
ROME,2,18.747308015823364
SANTIAGO,0,18.041630029678345
SANTIAGO,1,17.951066732406616
SANTIAGO,2,17.85933017730713
SINGAPORE,0,19.205377101898193
SINGAPORE,1,19.236974954605103
SINGAPORE,2,19.26247477531433
SINGAPORE,3,19.31644296646118
SINGAPORE,4,19.313489198684692
SINGAPORE,5,19.196748971939087
SYDNEY,0,18.089764833450317
SYDNEY,1,17.92928194999695
SYDNEY,2,18.056432247161865
SYDNEY,3,18.000251293182373
SYDNEY,4,18.026581048965454
SYDNEY,5,18.02681589126587
TOKYO,0,19.79098415374756
