backend,embedding,time
POUGHKEEPSIE,29,0.8488187789916992
POUGHKEEPSIE,30,0.8597900867462158
POUGHKEEPSIE,31,0.8320558071136475
SINGAPORE,0,0.697476863861084
SINGAPORE,1,0.7344348430633545
SINGAPORE,2,0.7212409973144531
SINGAPORE,3,0.7233819961547852
SINGAPORE,4,0.7087490558624268
SINGAPORE,5,0.7202639579772949
SINGAPORE,6,0.7396810054779053
SINGAPORE,7,0.7730910778045654
SINGAPORE,8,0.7301340103149414
SINGAPORE,9,0.7280669212341309
SINGAPORE,10,0.7390000820159912
SINGAPORE,11,0.7219119071960449
SINGAPORE,12,0.7463538646697998
SINGAPORE,13,0.775367021560669
SINGAPORE,14,0.7292821407318115
SINGAPORE,15,0.7444138526916504
SINGAPORE,16,0.7333638668060303
SINGAPORE,17,0.7627971172332764
SINGAPORE,18,0.7536439895629883
SINGAPORE,19,0.7577841281890869
SINGAPORE,20,0.7587301731109619
SINGAPORE,21,0.7636799812316895
SINGAPORE,22,0.7557940483093262
SINGAPORE,23,0.7760429382324219
SINGAPORE,24,0.7629766464233398
SINGAPORE,25,0.7924809455871582
SINGAPORE,26,0.7806658744812012
SINGAPORE,27,0.787553071975708
SINGAPORE,28,0.7683370113372803
SINGAPORE,29,0.7953767776489258
SINGAPORE,30,0.7940869331359863
SINGAPORE,31,0.799144983291626
SINGAPORE,32,0.8005340099334717
SINGAPORE,33,0.7927238941192627
SINGAPORE,34,0.794464111328125
SINGAPORE,35,0.8065590858459473
TOKYO,0,0.683007001876831
TOKYO,1,0.7043077945709229
TOKYO,2,0.6996598243713379
TOKYO,3,0.709780216217041
TOKYO,4,0.7101230621337891
TOKYO,5,0.7374882698059082
TOKYO,6,0.733309268951416
TOKYO,7,1.2586958408355713
TOKYO,8,0.7213618755340576
TOKYO,9,0.7114059925079346
TOKYO,10,1.2727830410003662
TOKYO,11,0.7509360313415527
TOKYO,12,0.7380549907684326
TOKYO,13,0.7370882034301758
TOKYO,14,0.7471768856048584
TOKYO,15,0.7169537544250488
TOKYO,16,0.7212479114532471
TOKYO,17,0.7367720603942871
TOKYO,18,0.7471330165863037
TOKYO,19,0.7368571758270264
TOKYO,20,0.7302331924438477
TOKYO,21,0.7457852363586426
TOKYO,22,0.7450559139251709
TOKYO,23,0.7467451095581055
TOKYO,24,0.7281830310821533
TOKYO,25,1.3042869567871094
TOKYO,26,0.7475528717041016
TOKYO,27,0.7536709308624268
TOKYO,28,1.1504991054534912
TOKYO,29,1.4101200103759766
TOKYO,30,1.4073090553283691
TOKYO,31,1.324497938156128
TOKYO,32,0.7742042541503906
TOKYO,33,0.7611682415008545
TOKYO,34,0.768610954284668
TOKYO,35,0.7856731414794922
TOKYO,36,0.7260808944702148
TOKYO,37,0.7385599613189697
TOKYO,38,0.7501277923583984
TOKYO,39,0.7580270767211914
TOKYO,40,1.32635498046875
TOKYO,41,0.7720520496368408
TOKYO,42,0.8902568817138672
TOKYO,43,0.9618909358978271
TOKYO,44,1.2730939388275146
TOKYO,45,0.8800919055938721
TOKYO,46,1.4186522960662842
TOKYO,47,0.7532081604003906
TOKYO,48,0.751227855682373
TOKYO,49,0.7701740264892578
TOKYO,50,0.7685720920562744
TOKYO,51,0.7600088119506836
TOKYO,52,0.7662460803985596
TOKYO,53,0.760145902633667
TOKYO,54,1.3326189517974854
TOKYO,55,0.7746858596801758
TOKYO,56,0.7615492343902588
TOKYO,57,0.7764599323272705
TOKYO,58,0.7882349491119385
TOKYO,59,0.7590091228485107
TOKYO,60,0.7680160999298096
TOKYO,61,0.7847728729248047
TOKYO,62,0.7725188732147217
TOKYO,63,0.7815039157867432
TOKYO,64,0.762094259262085
TOKYO,65,1.3585138320922852
TOKYO,66,0.7851479053497314
TOKYO,67,0.78072190284729
TOKYO,68,1.3773279190063477
TOKYO,69,0.7950348854064941
TOKYO,70,0.7718439102172852
TOKYO,71,0.7892239093780518
TOKYO,72,1.3417441844940186
TOKYO,73,0.8022568225860596
TOKYO,74,0.7821619510650635
TOKYO,75,0.7898859977722168
TOKYO,76,1.3854808807373047
TOKYO,77,1.4182119369506836
TOKYO,78,0.7924280166625977
TOKYO,79,0.8013219833374023
TOKYO,80,0.7966229915618896
TOKYO,81,0.8028302192687988
TOKYO,82,0.8029289245605469
TOKYO,83,0.8039240837097168
